ts,server_id,mem_pct
20:52:00,server_1,90.55
20:52:00,server_20,91.4
20:52:00,server_19,51.32
20:52:00,server_18,31.04
20:52:00,server_17,8.66
20:52:00,server_16,30.49
20:52:00,server_14,92.89
20:52:00,server_13,93.6
20:52:00,server_12,46.19
20:52:00,server_11,37.63
20:52:00,server_15,21.38
20:52:00,server_9,81.03
20:52:00,server_8,97.98
20:52:00,server_7,32.65
20:52:00,server_6,42.81
20:52:00,server_5,84.98
20:52:00,server_4,27.26
20:52:00,server_3,26.27
20:52:00,server_2,7.7
20:52:00,server_10,37.36
20:52:05,server_13,30.94
20:52:05,server_14,70.97
20:52:05,server_15,55.74
20:52:05,server_16,12.96
20:52:05,server_20,47.52
20:52:05,server_18,44.93
20:52:05,server_19,54.62
20:52:05,server_12,52.65
20:52:05,server_17,40.02
20:52:05,server_11,48.16
20:52:05,server_5,37.82
20:52:05,server_9,53.47
20:52:05,server_10,3.3
20:52:05,server_2,50.49
20:52:05,server_3,30.42
20:52:05,server_4,52.67
20:52:05,server_1,47.26
20:52:05,server_6,58.26
20:52:05,server_7,40.85
20:52:05,server_8,48.44
20:52:10,server_20,38.89
20:52:10,server_19,30.62
20:52:10,server_18,60.09
20:52:10,server_17,68.69
20:52:10,server_16,57.62
20:52:10,server_14,26.97
20:52:10,server_13,91.0
20:52:10,server_12,22.66
20:52:10,server_11,93.73
20:52:10,server_15,56.93
20:52:10,server_9,93.1
20:52:10,server_2,75.87
20:52:10,server_3,91.14
20:52:10,server_4,30.03
20:52:10,server_5,35.01
20:52:10,server_1,93.82
20:52:10,server_6,50.42
20:52:10,server_7,49.34
20:52:10,server_8,40.81
20:52:10,server_10,22.44
20:52:15,server_12,47.8
20:52:15,server_19,52.3
20:52:15,server_18,62.57
20:52:15,server_17,48.59
20:52:15,server_16,19.99
20:52:15,server_15,41.0
20:52:15,server_14,43.69
20:52:15,server_13,20.14
20:52:15,server_11,53.0
20:52:15,server_20,85.23
20:52:15,server_9,4.35
20:52:15,server_1,33.6
20:52:15,server_2,5.69
20:52:15,server_3,21.42
20:52:15,server_4,6.07
20:52:15,server_10,25.78
20:52:15,server_6,66.36
20:52:15,server_7,35.25
20:52:15,server_8,33.6
20:52:15,server_5,37.02
20:52:20,server_11,47.49
20:52:20,server_19,26.5
20:52:20,server_18,68.61
20:52:20,server_17,79.03
20:52:20,server_16,90.29
20:52:20,server_15,40.5
20:52:20,server_14,85.32
20:52:20,server_13,13.4
20:52:20,server_12,63.41
20:52:20,server_20,56.44
20:52:20,server_10,57.5
20:52:20,server_8,13.43
20:52:20,server_7,88.32
20:52:20,server_6,42.56
20:52:20,server_5,47.99
20:52:20,server_4,63.54
20:52:20,server_3,23.72
20:52:20,server_2,66.71
20:52:20,server_1,39.39
20:52:20,server_9,80.28
20:52:25,server_13,41.12
20:52:25,server_14,47.41
20:52:25,server_16,54.64
20:52:25,server_12,90.83
20:52:25,server_18,19.57
20:52:25,server_19,46.04
20:52:25,server_20,40.93
20:52:25,server_17,78.85
20:52:25,server_11,24.56
20:52:25,server_15,47.23
20:52:25,server_9,33.24
20:52:25,server_1,48.51
20:52:25,server_2,27.11
20:52:25,server_3,92.55
20:52:25,server_4,14.61
20:52:25,server_10,31.55
20:52:25,server_6,46.53
20:52:25,server_7,31.96
20:52:25,server_8,79.27
20:52:25,server_5,48.15
20:52:30,server_20,43.28
20:52:30,server_19,50.77
20:52:30,server_18,62.27
20:52:30,server_17,68.73
20:52:30,server_16,35.55
20:52:30,server_15,25.25
20:52:30,server_14,63.29
20:52:30,server_12,80.89
20:52:30,server_11,8.4
20:52:30,server_13,26.67
20:52:30,server_9,22.49
20:52:30,server_8,58.65
20:52:30,server_7,37.75
20:52:30,server_6,66.94
20:52:30,server_5,29.17
20:52:30,server_4,66.3
20:52:30,server_3,84.59
20:52:30,server_2,58.33
20:52:30,server_10,88.31
20:52:30,server_1,29.69
20:52:35,server_13,28.5
20:52:35,server_14,10.9
20:52:35,server_15,30.86
20:52:35,server_16,76.75
20:52:35,server_20,55.19
20:52:35,server_18,25.53
20:52:35,server_19,80.26
20:52:35,server_12,93.81
20:52:35,server_17,45.0
20:52:35,server_11,66.9
20:52:35,server_3,14.44
20:52:35,server_9,37.81
20:52:35,server_8,89.56
20:52:35,server_7,42.49
20:52:35,server_6,97.32
20:52:35,server_5,44.82
20:52:35,server_4,45.12
20:52:35,server_2,10.57
20:52:35,server_1,44.57
20:52:35,server_10,45.45
20:52:40,server_12,94.43
20:52:40,server_13,41.8
20:52:40,server_14,53.54
20:52:40,server_15,37.74
20:52:40,server_19,19.83
20:52:40,server_17,26.08
20:52:40,server_18,36.56
20:52:40,server_11,39.59
20:52:40,server_16,97.47
20:52:40,server_20,17.24
20:52:40,server_10,33.56
20:52:40,server_8,9.96
20:52:40,server_1,51.94
20:52:40,server_2,94.13
20:52:40,server_3,62.0
20:52:40,server_9,65.23
20:52:40,server_5,32.17
20:52:40,server_6,2.86
20:52:40,server_7,81.66
20:52:40,server_4,81.36
20:52:45,server_13,43.51
20:52:45,server_20,82.95
20:52:45,server_19,18.85
20:52:45,server_18,97.28
20:52:45,server_17,89.58
20:52:45,server_16,12.71
20:52:45,server_15,92.38
20:52:45,server_14,31.13
20:52:45,server_12,81.67
20:52:45,server_11,16.02
20:52:45,server_1,41.55
20:52:45,server_9,11.85
20:52:45,server_8,3.76
20:52:45,server_7,27.2
20:52:45,server_6,63.71
20:52:45,server_5,44.67
20:52:45,server_4,49.78
20:52:45,server_3,86.99
20:52:45,server_2,87.38
20:52:45,server_10,38.76
20:52:50,server_13,15.02
20:52:50,server_14,97.76
20:52:50,server_15,41.25
20:52:50,server_16,43.57
20:52:50,server_12,92.34
20:52:50,server_18,42.87
20:52:50,server_19,36.24
20:52:50,server_20,61.33
20:52:50,server_17,49.23
20:52:50,server_11,59.05
20:52:50,server_1,75.1
20:52:50,server_9,43.27
20:52:50,server_8,48.95
20:52:50,server_7,26.31
20:52:50,server_6,33.75
20:52:50,server_5,48.45
20:52:50,server_4,20.63
20:52:50,server_3,94.29
20:52:50,server_2,78.37
20:52:50,server_10,63.83
20:52:55,server_13,47.33
20:52:55,server_14,64.41
20:52:55,server_15,57.26
20:52:55,server_16,46.49
20:52:55,server_20,84.95
20:52:55,server_18,40.97
20:52:55,server_19,62.61
20:52:55,server_12,40.63
20:52:55,server_17,58.47
20:52:55,server_11,12.69
20:52:55,server_5,52.33
20:52:55,server_9,75.49
20:52:55,server_2,51.22
20:52:55,server_3,59.66
20:52:55,server_4,65.83
20:52:55,server_1,57.9
20:52:55,server_6,43.45
20:52:55,server_7,10.07
