ts,server_id,cpu_pct
20:52:00,server_1,11.13
20:52:00,server_20,86.58
20:52:00,server_19,52.68
20:52:00,server_18,22.43
20:52:00,server_17,80.25
20:52:00,server_16,23.34
20:52:00,server_14,93.47
20:52:00,server_13,97.69
20:52:00,server_12,47.76
20:52:00,server_11,38.7
20:52:00,server_15,23.47
20:52:00,server_9,2.69
20:52:00,server_8,15.06
20:52:00,server_7,28.4
20:52:00,server_6,75.72
20:52:00,server_5,90.06
20:52:00,server_4,84.91
20:52:00,server_3,88.11
20:52:00,server_2,83.12
20:52:00,server_10,49.16
20:52:05,server_13,39.16
20:52:05,server_14,61.39
20:52:05,server_15,64.65
20:52:05,server_16,86.96
20:52:05,server_20,21.03
20:52:05,server_18,50.91
20:52:05,server_19,47.6
20:52:05,server_12,34.74
20:52:05,server_17,43.75
20:52:05,server_11,46.3
20:52:05,server_5,66.6
20:52:05,server_9,42.34
20:52:05,server_10,97.2
20:52:05,server_2,61.99
20:52:05,server_3,26.77
20:52:05,server_4,42.05
20:52:05,server_1,42.97
20:52:05,server_6,43.54
20:52:05,server_7,73.31
20:52:05,server_8,64.66
20:52:10,server_20,53.29
20:52:10,server_19,47.67
20:52:10,server_18,57.96
20:52:10,server_17,69.02
20:52:10,server_16,38.49
20:52:10,server_14,47.18
20:52:10,server_13,4.19
20:52:10,server_12,82.96
20:52:10,server_11,21.58
20:52:10,server_15,39.74
20:52:10,server_9,62.84
20:52:10,server_2,63.64
20:52:10,server_3,87.26
20:52:10,server_4,56.94
20:52:10,server_5,36.8
20:52:10,server_1,12.76
20:52:10,server_6,42.69
20:52:10,server_7,58.96
20:52:10,server_8,47.47
20:52:10,server_10,22.63
20:52:15,server_12,30.55
20:52:15,server_19,59.86
20:52:15,server_18,51.75
20:52:15,server_17,30.23
20:52:15,server_16,23.28
20:52:15,server_15,28.34
20:52:15,server_14,33.67
20:52:15,server_13,23.6
20:52:15,server_11,22.44
20:52:15,server_20,92.82
20:52:15,server_9,96.42
20:52:15,server_1,25.79
20:52:15,server_2,97.26
20:52:15,server_3,82.93
20:52:15,server_4,81.69
20:52:15,server_10,96.64
20:52:15,server_6,68.65
20:52:15,server_7,57.46
20:52:15,server_8,40.64
20:52:15,server_5,77.76
20:52:20,server_11,37.73
20:52:20,server_19,20.68
20:52:20,server_18,62.7
20:52:20,server_17,55.69
20:52:20,server_16,26.15
20:52:20,server_15,53.07
20:52:20,server_14,94.67
20:52:20,server_13,85.43
20:52:20,server_12,63.34
20:52:20,server_20,52.78
20:52:20,server_10,72.65
20:52:20,server_8,81.26
20:52:20,server_7,21.16
20:52:20,server_6,40.86
20:52:20,server_5,60.58
20:52:20,server_4,45.61
20:52:20,server_3,21.15
20:52:20,server_2,67.93
20:52:20,server_1,34.06
20:52:20,server_9,99.71
20:52:25,server_13,44.34
20:52:25,server_14,58.17
20:52:25,server_16,45.12
20:52:25,server_12,88.82
20:52:25,server_18,21.21
20:52:25,server_19,36.39
20:52:25,server_20,57.49
20:52:25,server_17,47.87
20:52:25,server_11,49.46
20:52:25,server_15,24.21
20:52:25,server_9,27.57
20:52:25,server_1,63.54
20:52:25,server_2,49.96
20:52:25,server_3,1.16
20:52:25,server_4,91.31
20:52:25,server_10,22.62
20:52:25,server_6,42.81
20:52:25,server_7,31.66
20:52:25,server_8,67.36
20:52:25,server_5,39.24
20:52:30,server_20,38.42
20:52:30,server_19,53.61
20:52:30,server_18,67.4
20:52:30,server_17,67.04
20:52:30,server_16,26.65
20:52:30,server_15,49.8
20:52:30,server_14,63.17
20:52:30,server_12,7.57
20:52:30,server_11,90.71
20:52:30,server_13,83.35
20:52:30,server_9,97.37
20:52:30,server_8,69.99
20:52:30,server_7,33.65
20:52:30,server_6,62.7
20:52:30,server_5,29.16
20:52:30,server_4,58.66
20:52:30,server_3,99.83
20:52:30,server_2,69.47
20:52:30,server_10,20.95
20:52:30,server_1,23.08
20:52:35,server_13,27.69
20:52:35,server_14,98.58
20:52:35,server_15,78.07
20:52:35,server_16,67.55
20:52:35,server_20,52.19
20:52:35,server_18,28.55
20:52:35,server_19,99.57
20:52:35,server_12,99.79
20:52:35,server_17,37.14
20:52:35,server_11,53.44
20:52:35,server_3,90.12
20:52:35,server_9,35.2
20:52:35,server_8,88.7
20:52:35,server_7,21.03
20:52:35,server_6,9.89
20:52:35,server_5,32.48
20:52:35,server_4,47.37
20:52:35,server_2,97.09
20:52:35,server_1,25.32
20:52:35,server_10,60.07
20:52:40,server_12,89.27
20:52:40,server_13,20.28
20:52:40,server_14,61.22
20:52:40,server_15,35.54
20:52:40,server_19,90.23
20:52:40,server_17,30.36
20:52:40,server_18,37.41
20:52:40,server_11,37.3
20:52:40,server_16,12.96
20:52:40,server_20,93.32
20:52:40,server_10,47.45
20:52:40,server_8,95.67
20:52:40,server_1,34.86
20:52:40,server_2,92.34
20:52:40,server_3,57.14
20:52:40,server_9,68.54
20:52:40,server_5,39.81
20:52:40,server_6,94.33
20:52:40,server_7,25.99
20:52:40,server_4,99.92
20:52:45,server_13,34.99
20:52:45,server_20,14.91
20:52:45,server_19,23.78
20:52:45,server_18,13.27
20:52:45,server_17,95.64
20:52:45,server_16,88.69
20:52:45,server_15,5.56
20:52:45,server_14,54.81
20:52:45,server_12,11.5
20:52:45,server_11,93.84
20:52:45,server_1,40.3
20:52:45,server_9,88.84
20:52:45,server_8,88.54
20:52:45,server_7,32.5
20:52:45,server_6,48.29
20:52:45,server_5,22.24
20:52:45,server_4,27.17
20:52:45,server_3,23.41
20:52:45,server_2,91.11
20:52:45,server_10,25.93
20:52:50,server_13,24.18
20:52:50,server_14,97.13
20:52:50,server_15,28.86
20:52:50,server_16,47.67
20:52:50,server_12,90.28
20:52:50,server_18,53.44
20:52:50,server_19,50.75
20:52:50,server_20,69.7
20:52:50,server_17,22.56
20:52:50,server_11,43.77
20:52:50,server_1,67.16
20:52:50,server_9,41.24
20:52:50,server_8,67.51
20:52:50,server_7,41.95
20:52:50,server_6,22.71
20:52:50,server_5,56.13
20:52:50,server_4,21.39
20:52:50,server_3,13.63
20:52:50,server_2,64.54
20:52:50,server_10,60.99
20:52:55,server_13,35.22
20:52:55,server_14,69.28
20:52:55,server_15,50.74
20:52:55,server_16,21.33
20:52:55,server_20,88.85
20:52:55,server_18,45.26
20:52:55,server_19,51.8
20:52:55,server_12,73.81
20:52:55,server_17,43.18
20:52:55,server_11,24.39
20:52:55,server_5,69.96
20:52:55,server_9,65.24
20:52:55,server_2,44.48
20:52:55,server_3,55.41
20:52:55,server_4,48.16
20:52:55,server_1,67.24
20:52:55,server_6,61.05
20:52:55,server_7,82.63
20:52:55,server_8,45.95
20:52:55,server_10,44.36
20:53:00,server_12,92.65
20:53:00,server_19,46.96
20:53:00,server_18,58.42
20:53:00,server_17,45.27
20:53:00,server_16,90.69
20:53:00,server_15,56.4
20:53:00,server_14,63.98
20:53:00,server_13,67.25
20:53:00,server_11,19.83
20:53:00,server_20,0.29
20:53:00,server_9,29.55
20:53:00,server_1,55.16
20:53:00,server_2,15.26
20:53:00,server_3,82.7
20:53:00,server_4,25.58
20:53:00,server_10,30.16
20:53:00,server_6,50.1
20:53:00,server_7,90.74
20:53:00,server_8,14.73
20:53:00,server_5,65.24
20:53:05,server_11,55.24
20:53:05,server_19,50.61
20:53:05,server_18,83.34
20:53:05,server_17,22.0
20:53:05,server_16,51.44
20:53:05,server_15,15.77
20:53:05,server_14,41.02
20:53:05,server_13,7.14
20:53:05,server_12,54.79
20:53:05,server_20,24.53
20:53:05,server_10,24.06
20:53:05,server_8,50.7
20:53:05,server_7,49.86
20:53:05,server_6,8.24
20:53:05,server_5,94.96
20:53:05,server_4,61.95
20:53:05,server_3,29.29
20:53:05,server_2,45.62
20:53:05,server_1,72.96
20:53:05,server_9,42.96
20:53:10,server_14,54.44
20:53:10,server_15,20.95
20:53:10,server_16,34.11
20:53:10,server_13,90.18
20:53:10,server_18,60.76
20:53:10,server_19,28.95
20:53:10,server_20,95.23
20:53:10,server_17,98.32
20:53:10,server_12,62.41
20:53:10,server_11,49.65
20:53:10,server_1,64.01
20:53:10,server_9,48.73
20:53:10,server_8,60.68
20:53:10,server_7,51.47
20:53:10,server_6,25.29
20:53:10,server_5,59.21
20:53:10,server_4,48.35
20:53:10,server_3,58.19
20:53:10,server_2,92.01
20:53:10,server_10,34.89
20:53:15,server_13,55.05
20:53:15,server_14,41.37
20:53:15,server_15,5.05
20:53:15,server_20,94.82
20:53:15,server_18,40.85
20:53:15,server_19,92.14
20:53:15,server_12,84.06
20:53:15,server_16,53.69
20:53:15,server_11,62.87
20:53:15,server_17,80.15
20:53:15,server_9,32.75
20:53:15,server_10,58.79
20:53:15,server_2,95.12
20:53:15,server_3,44.17
20:53:15,server_4,58.66
20:53:15,server_1,93.44
20:53:15,server_6,42.21
20:53:15,server_7,18.73
20:53:15,server_8,85.16
20:53:15,server_5,49.2
20:53:20,server_20,24.98
20:53:20,server_12,49.36
20:53:20,server_19,61.82
20:53:20,server_18,81.42
20:53:20,server_17,67.52
20:53:20,server_16,48.76
20:53:20,server_15,33.75
20:53:20,server_14,66.35
20:53:20,server_13,94.71
20:53:20,server_11,27.81
20:53:20,server_7,24.63
20:53:20,server_9,53.86
20:53:20,server_8,21.3
20:53:20,server_6,20.61
20:53:20,server_5,31.63
