ts,server_id,disk_io
20:52:00,server_20,103.23
20:52:00,server_19,63.47
20:52:00,server_18,0.0
20:52:00,server_17,8.21
20:52:00,server_16,37.61
20:52:00,server_14,69.94
20:52:00,server_13,40.15
20:52:00,server_12,13.2
20:52:00,server_11,34.18
20:52:00,server_15,41.66
20:52:00,server_9,19.29
20:52:00,server_8,0.0
20:52:00,server_7,76.56
20:52:00,server_6,108.33
20:52:00,server_5,87.9
20:52:00,server_4,99.28
20:52:00,server_3,122.11
20:52:00,server_2,110.4
20:52:00,server_10,3584.89
20:52:05,server_13,19.91
20:52:05,server_14,106.92
20:52:05,server_15,114.64
20:52:05,server_16,36.03
20:52:05,server_20,6625.66
20:52:05,server_18,65.11
20:52:05,server_19,0.0
20:52:05,server_12,105.54
20:52:05,server_17,54.94
20:52:05,server_11,157.28
20:52:05,server_5,73.27
20:52:05,server_9,41.8
20:52:05,server_10,54.89
20:52:05,server_2,717.59
20:52:05,server_3,31.65
20:52:05,server_4,1765.69
20:52:05,server_1,1164.9
20:52:05,server_6,31.74
20:52:05,server_7,88.18
20:52:05,server_8,1469.53
20:52:10,server_20,104.34
20:52:10,server_19,3088.76
20:52:10,server_18,80.64
20:52:10,server_17,0.0
20:52:10,server_16,49.44
20:52:10,server_14,6090.79
20:52:10,server_13,54.97
20:52:10,server_12,34.57
20:52:10,server_11,0.0
20:52:10,server_15,68.11
20:52:10,server_9,48.07
20:52:10,server_2,213.87
20:52:10,server_3,89.88
20:52:10,server_4,101.63
20:52:10,server_5,0.0
20:52:10,server_1,88.11
20:52:10,server_6,1655.28
20:52:10,server_7,681.11
20:52:10,server_8,120.67
20:52:10,server_10,95.25
20:52:15,server_12,8505.73
20:52:15,server_19,1101.49
20:52:15,server_18,0.0
20:52:15,server_17,5651.9
20:52:15,server_16,0.0
20:52:15,server_15,54.27
20:52:15,server_14,3703.96
20:52:15,server_13,26.11
20:52:15,server_11,85.18
20:52:15,server_20,5.3
20:52:15,server_9,4.56
20:52:15,server_1,0.0
20:52:15,server_2,155.39
20:52:15,server_3,0.0
20:52:15,server_4,62.32
20:52:15,server_10,129.93
20:52:15,server_6,1410.83
20:52:15,server_7,14.25
20:52:15,server_8,9486.02
20:52:15,server_5,132.18
20:52:20,server_11,20.77
20:52:20,server_19,136.27
20:52:20,server_18,40.48
20:52:20,server_17,33.4
20:52:20,server_16,134.71
20:52:20,server_15,1368.18
20:52:20,server_14,139.21
20:52:20,server_13,86.82
20:52:20,server_12,44.96
20:52:20,server_20,59.47
20:52:20,server_10,0.97
20:52:20,server_8,59.06
20:52:20,server_7,105.7
20:52:20,server_6,2.08
20:52:20,server_5,17.69
20:52:20,server_4,0.06
20:52:20,server_3,59.2
20:52:20,server_2,713.65
20:52:20,server_1,0.0
20:52:20,server_9,110.28
20:52:25,server_13,903.51
20:52:25,server_14,86.14
20:52:25,server_16,936.22
20:52:25,server_12,79.3
20:52:25,server_18,25.53
20:52:25,server_19,6724.66
20:52:25,server_20,97.85
20:52:25,server_17,68.49
20:52:25,server_11,5365.92
20:52:25,server_15,4127.81
20:52:25,server_9,38.01
20:52:25,server_1,1327.12
20:52:25,server_2,8551.07
20:52:25,server_3,0.0
20:52:25,server_4,43.17
20:52:25,server_10,9671.24
20:52:25,server_6,120.44
20:52:25,server_7,7359.8
20:52:25,server_8,150.79
20:52:25,server_5,7.33
20:52:30,server_20,8548.7
20:52:30,server_19,0.0
20:52:30,server_18,49.3
20:52:30,server_17,847.3
20:52:30,server_16,52.72
20:52:30,server_15,8360.21
20:52:30,server_14,0.0
20:52:30,server_12,53.0
20:52:30,server_11,0.0
20:52:30,server_13,30.16
20:52:30,server_9,57.65
20:52:30,server_8,0.0
20:52:30,server_7,0.0
20:52:30,server_6,62.57
20:52:30,server_5,100.24
20:52:30,server_4,145.47
20:52:30,server_3,147.18
20:52:30,server_2,73.74
20:52:30,server_10,51.05
20:52:30,server_1,47.08
20:52:35,server_13,48.82
20:52:35,server_14,88.98
20:52:35,server_15,36.67
20:52:35,server_16,105.94
20:52:35,server_20,119.3
20:52:35,server_18,0.0
20:52:35,server_19,96.9
20:52:35,server_12,73.26
20:52:35,server_17,66.55
20:52:35,server_11,811.36
20:52:35,server_3,85.98
20:52:35,server_9,5355.9
20:52:35,server_8,43.06
20:52:35,server_7,3405.93
20:52:35,server_6,67.59
20:52:35,server_5,6022.99
20:52:35,server_4,1971.2
20:52:35,server_2,34.86
20:52:35,server_1,0.0
20:52:35,server_10,98.34
20:52:40,server_12,141.3
20:52:40,server_13,6543.25
20:52:40,server_14,1066.03
20:52:40,server_15,5494.93
20:52:40,server_19,83.55
20:52:40,server_17,9299.16
20:52:40,server_18,92.55
20:52:40,server_11,43.39
20:52:40,server_16,76.98
20:52:40,server_20,0.0
20:52:40,server_10,6473.39
20:52:40,server_8,30.35
20:52:40,server_1,17.33
20:52:40,server_2,44.09
20:52:40,server_3,56.5
20:52:40,server_9,54.39
20:52:40,server_5,0.0
20:52:40,server_6,0.0
20:52:40,server_7,128.1
20:52:40,server_4,56.25
20:52:45,server_13,0.0
20:52:45,server_20,30.47
20:52:45,server_19,0.0
20:52:45,server_18,132.88
20:52:45,server_17,106.82
20:52:45,server_16,66.59
20:52:45,server_15,0.0
20:52:45,server_14,38.48
20:52:45,server_12,34.24
20:52:45,server_11,0.0
20:52:45,server_1,8331.18
20:52:45,server_9,9.67
20:52:45,server_8,43.23
20:52:45,server_7,5680.28
20:52:45,server_6,0.0
20:52:45,server_5,9454.9
20:52:45,server_4,9017.13
20:52:45,server_3,80.46
20:52:45,server_2,64.41
20:52:45,server_10,51.15
20:52:50,server_13,40.71
20:52:50,server_14,148.89
20:52:50,server_15,29.06
20:52:50,server_16,3913.53
20:52:50,server_12,37.77
20:52:50,server_18,0.0
20:52:50,server_19,186.38
20:52:50,server_20,114.2
20:52:50,server_17,9793.26
20:52:50,server_11,71.28
20:52:50,server_1,94.96
20:52:50,server_9,3237.84
20:52:50,server_8,88.88
20:52:50,server_7,9661.3
20:52:50,server_6,63.79
20:52:50,server_5,104.49
20:52:50,server_4,77.13
20:52:50,server_3,17.88
20:52:50,server_2,107.24
20:52:50,server_10,59.42
20:52:55,server_13,9572.84
20:52:55,server_14,1382.34
20:52:55,server_15,130.9
20:52:55,server_16,8789.21
20:52:55,server_20,53.75
20:52:55,server_18,41.47
20:52:55,server_19,1640.22
20:52:55,server_12,124.71
20:52:55,server_17,101.42
20:52:55,server_11,45.44
20:52:55,server_5,74.76
20:52:55,server_9,102.64
20:52:55,server_2,39.08
20:52:55,server_3,52.64
20:52:55,server_4,1808.91
20:52:55,server_1,56.26
20:52:55,server_6,616.99
20:52:55,server_7,91.69
20:52:55,server_8,7724.02
20:52:55,server_10,40.16
20:53:00,server_12,48.5
20:53:00,server_19,117.8
20:53:00,server_18,96.4
20:53:00,server_17,922.99
20:53:00,server_16,27.14
20:53:00,server_15,1077.2
20:53:00,server_14,685.44
20:53:00,server_13,8.43
20:53:00,server_11,14.42
20:53:00,server_20,61.67
20:53:00,server_9,83.97
20:53:00,server_1,98.19
20:53:00,server_2,77.94
20:53:00,server_3,44.19
20:53:00,server_4,4883.24
20:53:00,server_10,113.14
20:53:00,server_6,590.39
20:53:00,server_7,86.27
20:53:00,server_8,116.79
20:53:00,server_5,647.95
20:53:05,server_11,113.91
20:53:05,server_19,81.48
20:53:05,server_18,123.06
20:53:05,server_17,47.27
20:53:05,server_16,1505.1
20:53:05,server_15,137.73
20:53:05,server_14,0.0
20:53:05,server_13,53.8
20:53:05,server_12,80.39
20:53:05,server_20,60.02
20:53:05,server_10,53.39
20:53:05,server_8,17.23
20:53:05,server_7,1864.39
20:53:05,server_6,12.0
20:53:05,server_5,48.99
20:53:05,server_4,1355.56
20:53:05,server_3,0.0
20:53:05,server_2,6316.02
20:53:05,server_1,188.18
20:53:05,server_9,1050.68
20:53:10,server_14,118.96
20:53:10,server_15,6140.67
20:53:10,server_16,6669.34
20:53:10,server_13,0.0
20:53:10,server_18,79.16
20:53:10,server_19,4.29
20:53:10,server_20,84.15
20:53:10,server_17,44.96
20:53:10,server_12,82.3
20:53:10,server_11,0.0
20:53:10,server_1,27.82
20:53:10,server_9,80.73
20:53:10,server_8,79.86
20:53:10,server_7,0.0
20:53:10,server_6,78.22
20:53:10,server_5,153.6
20:53:10,server_4,1229.1
20:53:10,server_3,20.14
20:53:10,server_2,52.19
20:53:10,server_10,105.22
20:53:15,server_13,817.52
20:53:15,server_14,27.53
20:53:15,server_15,100.06
20:53:15,server_20,41.69
20:53:15,server_18,0.0
20:53:15,server_19,74.71
20:53:15,server_12,71.56
20:53:15,server_16,12.59
20:53:15,server_11,44.01
20:53:15,server_17,13.49
20:53:15,server_9,0.0
20:53:15,server_10,49.68
20:53:15,server_2,80.33
20:53:15,server_3,5044.46
20:53:15,server_4,32.79
20:53:15,server_1,0.0
20:53:15,server_6,1282.18
20:53:15,server_7,102.41
20:53:15,server_8,45.92
20:53:15,server_5,941.79
20:53:20,server_20,8373.57
20:53:20,server_12,53.37
20:53:20,server_19,114.17
20:53:20,server_18,83.14
20:53:20,server_17,80.35
20:53:20,server_16,8200.24
20:53:20,server_15,7660.61
20:53:20,server_14,66.48
20:53:20,server_13,79.49
20:53:20,server_11,0.0
20:53:20,server_7,56.6
20:53:20,server_9,3.84
20:53:20,server_8,0.0
20:53:20,server_6,9803.97
20:53:20,server_5,181.11
20:53:20,server_4,1762.21
20:53:20,server_3,10.11
20:53:20,server_2,77.32
20:53:20,server_1,0.0
20:53:20,server_10,91.34
